ax(g);ay(g);az(g);accRMS(g);time(s)
0.0044;-0.0291;0.9375;0.9380;42.6109
0.0042;-0.0282;0.9368;0.9372;42.8628
0.0051;-0.0289;0.9382;0.9387;43.1150
0.0040;-0.0283;0.9369;0.9373;43.3670
0.0040;-0.0272;0.9374;0.9378;43.6190
0.0046;-0.0280;0.9370;0.9374;43.8710
0.0052;-0.0284;0.9384;0.9388;44.1230
0.0048;-0.0291;0.9375;0.9380;44.3763
0.0046;-0.0283;0.9374;0.9378;44.6283
0.0040;-0.0291;0.9384;0.9388;44.8803
0.0040;-0.0273;0.9354;0.9358;45.1324
0.0038;-0.0280;0.9360;0.9365;45.3844
0.0048;-0.0280;0.9376;0.9381;45.6364
0.0049;-0.0282;0.9375;0.9379;45.8883
0.0045;-0.0275;0.9363;0.9367;46.1407
0.0052;-0.0282;0.9369;0.9373;46.3927
0.0044;-0.0282;0.9368;0.9372;46.6564
0.0046;-0.0289;0.9368;0.9372;46.9084
0.0050;-0.0291;0.9358;0.9363;47.1604
0.0044;-0.0291;0.9366;0.9371;47.4124
0.0038;-0.0277;0.9365;0.9369;47.6644
0.0043;-0.0288;0.9377;0.9382;47.9164
0.0044;-0.0288;0.9368;0.9372;48.1684
0.0038;-0.0284;0.9374;0.9378;48.4204
0.0034;-0.0286;0.9384;0.9388;48.6724
0.0033;-0.0282;0.9375;0.9379;48.9244
0.0042;-0.0281;0.9374;0.9378;49.1764
0.0040;-0.0288;0.9369;0.9373;49.4284
0.0046;-0.0287;0.9362;0.9366;49.6804
0.0044;-0.0277;0.9370;0.9374;49.9329
0.0046;-0.0286;0.9369;0.9373;50.1849
0.0049;-0.0287;0.9357;0.9361;50.4369
0.0038;-0.0276;0.9376;0.9380;50.6889
0.0045;-0.0289;0.9373;0.9377;50.9423
0.0048;-0.0286;0.9380;0.9384;51.1967
0.0045;-0.0287;0.9371;0.9376;51.4487
0.0038;-0.0286;0.9360;0.9365;51.7118
0.0034;-0.0281;0.9370;0.9374;51.9639
0.0042;-0.0287;0.9370;0.9375;52.2159
0.0039;-0.0277;0.9373;0.9377;52.4680
0.0044;-0.0276;0.9382;0.9386;52.7200
0.0039;-0.0289;0.9366;0.9371;52.9720
0.0051;-0.0281;0.9381;0.9385;53.2241
0.0051;-0.0280;0.9387;0.9392;53.4761
0.0054;-0.0283;0.9369;0.9373;53.7281
0.0039;-0.0273;0.9379;0.9383;53.9801
0.0050;-0.0297;0.9385;0.9390;54.2321
0.0042;-0.0278;0.9365;0.9369;54.4841
0.0045;-0.0280;0.9382;0.9387;54.7362
0.0039;-0.0283;0.9369;0.9373;54.9882
0.0043;-0.0284;0.9376;0.9381;55.2405
0.0049;-0.0286;0.9371;0.9376;55.4926
0.0044;-0.0286;0.9369;0.9373;55.7446
0.0046;-0.0275;0.9368;0.9372;55.9968
0.0049;-0.0278;0.9364;0.9368;56.2489
0.0043;-0.0282;0.9374;0.9378;56.5009
0.0045;-0.0281;0.9373;0.9377;56.7572
0.0043;-0.0287;0.9376;0.9381;57.0092
0.0049;-0.0287;0.9380;0.9384;57.2613
0.0035;-0.0281;0.9376;0.9380;57.5132
0.0049;-0.0280;0.9375;0.9379;57.7652
0.0045;-0.0295;0.9384;0.9388;58.0173
0.0048;-0.0283;0.9374;0.9378;58.2693
0.0048;-0.0281;0.9373;0.9377;58.5213
0.0050;-0.0280;0.9365;0.9370;58.7733
0.0051;-0.0278;0.9370;0.9374;59.0254
0.0050;-0.0284;0.9370;0.9375;59.2774
0.0045;-0.0291;0.9376;0.9381;59.5294
0.0039;-0.0283;0.9374;0.9378;59.7814
