gx(degree/s);gy(degree/s);gz(degree/s);inclinacionX;inclinacionY;time(s)
-0.0305;0.1679;0.0153;-56.7530;27.1403;0.4145
0.0763;0.0916;0.0153;0.0000;-18.4349;0.4167
0.1374;0.0916;0.0000;-15.7744;-45.5293;0.4189
0.1374;0.1221;0.0458;-47.0073;-31.7169;0.4211
0.1527;0.1374;0.0916;-48.2602;-25.6748;0.4234
0.2137;0.1985;0.0458;-29.9813;-31.5682;0.4256
0.2443;0.1221;0.0000;-14.7688;-44.0459;0.4278
0.1679;0.0916;-0.0153;-4.1985;-42.6268;0.4300
0.2290;-0.0153;-0.0305;0.0000;-5.9061;0.4324
0.2748;-0.0458;-0.0305;43.9726;34.6161;0.4350
-0.0305;0.0763;-0.0763;14.7414;49.7622;0.4373
-0.0153;0.0458;0.0000;41.4965;-0.0000;0.4395
0.0611;0.1221;-0.0153;-14.4487;-14.4487;0.4418
-0.0916;0.1679;0.0000;-51.8442;-37.7048;0.4444
-0.0305;0.1832;-0.0458;-56.3099;-26.3440;0.4467
0.0458;0.1221;-0.0305;-64.0515;4.1251;0.4490
0.0611;0.0611;-0.0153;-28.0834;-20.0212;0.4512
0.0763;0.1374;-0.0153;25.2394;39.7622;0.4539
-0.1069;0.1374;-0.0611;-27.6085;-10.0080;0.4562
-0.0916;0.1527;-0.0153;-85.5909;3.9429;0.4584
0.0305;0.1221;0.0153;-75.6971;2.7771;0.4607
-0.0305;0.1069;-0.0153;-68.5533;-2.9640;0.4635
0.0153;0.1221;-0.0305;4.3858;57.2661;0.4660
0.0153;0.1374;0.0458;0.0000;47.4896;0.4683
0.0305;0.0611;0.0153;-36.4866;26.4858;0.4706
0.0000;-0.1221;-0.0153;-45.0000;40.7465;0.4734
0.0153;-0.0916;-0.0153;-2.6990;8.1210;0.4760
0.0305;0.0763;-0.0611;-40.2979;-40.2979;0.4782
0.0763;0.0916;-0.0153;14.2254;-29.4375;0.4804
0.1221;-0.0458;0.0153;2.3456;-34.9584;0.4829
0.0763;0.0153;0.0611;-37.1193;-31.4117;0.4855
0.0611;-0.0305;0.0305;18.1005;-10.7434;0.4877
0.0153;0.0153;0.0305;-9.3050;-34.4660;0.4900
-0.0305;0.1374;-0.0611;-26.1942;-23.6586;0.4924
0.0000;0.1374;-0.0305;-19.0705;-19.0705;0.4951
0.0153;0.1221;-0.0916;-52.4286;13.0885;0.4976
0.0611;0.1069;0.0305;-79.3851;2.5606;0.4999
