ax(m/s);ay(m/s);az(m/s);accRMS(m/s);time(s)
-0.1054;-0.4000;9.8340;9.8426;40.1488
-0.1102;-0.3940;9.8495;9.8580;40.4040
-0.1006;-0.4012;9.8447;9.8534;40.6591
-0.1030;-0.4024;9.8375;9.8463;40.9144
-0.0958;-0.3988;9.8435;9.8521;41.1696
-0.0958;-0.3952;9.8495;9.8579;41.4248
-0.1078;-0.3844;9.8495;9.8576;41.6800
-0.1054;-0.3952;9.8471;9.8556;41.9352
-0.1054;-0.3976;9.8483;9.8569;42.1904
-0.1006;-0.4000;9.8447;9.8534;42.4456
-0.1066;-0.3976;9.8375;9.8462;42.7008
-0.1006;-0.4036;9.8495;9.8583;42.9561
-0.1078;-0.4012;9.8471;9.8559;43.2115
-0.1138;-0.3976;9.8663;9.8749;43.4667
-0.1102;-0.3892;9.8411;9.8494;43.7220
-0.1066;-0.3964;9.8351;9.8437;43.9773
-0.1138;-0.4012;9.8375;9.8464;44.2437
-0.1078;-0.3940;9.8423;9.8508;44.4990
-0.1054;-0.4060;9.8507;9.8596;44.7543
-0.1054;-0.4012;9.8423;9.8511;45.0096
-0.1078;-0.3928;9.8447;9.8531;45.2648
-0.1054;-0.4036;9.8507;9.8595;45.5201
-0.1078;-0.3952;9.8459;9.8544;45.7753
-0.1174;-0.3976;9.8591;9.8678;46.0306
-0.1090;-0.3964;9.8411;9.8497;46.2860
-0.1066;-0.3976;9.8304;9.8390;46.5412
-0.1102;-0.4012;9.8615;9.8703;46.7967
-0.0994;-0.3916;9.8268;9.8351;47.0519
-0.0994;-0.4036;9.8459;9.8547;47.3074
-0.1054;-0.3928;9.8328;9.8412;47.5626
-0.1042;-0.4012;9.8447;9.8534;47.8179
-0.1066;-0.3988;9.8399;9.8486;48.0731
-0.1054;-0.3892;9.8447;9.8530;48.3283
-0.1066;-0.3988;9.8603;9.8689;48.5836
-0.0934;-0.4000;9.8447;9.8533;48.8405
-0.1066;-0.3892;9.8531;9.8614;49.0969
-0.1114;-0.3940;9.8435;9.8520;49.3650
-0.1054;-0.4024;9.8471;9.8559;49.6203
-0.1030;-0.4024;9.8411;9.8499;49.8756
-0.1018;-0.3976;9.8543;9.8628;50.1308
-0.1090;-0.3964;9.8459;9.8545;50.3862
-0.1162;-0.3940;9.8567;9.8653;50.6414
-0.1030;-0.3988;9.8340;9.8426;50.8966
-0.1078;-0.4072;9.8471;9.8561;51.1519
-0.1006;-0.3976;9.8555;9.8640;51.4071
-0.1054;-0.4036;9.8471;9.8560;51.6624
-0.0934;-0.3892;9.8459;9.8541;51.9176
-0.1066;-0.3880;9.8435;9.8518;52.1729
-0.0982;-0.3904;9.8639;9.8721;52.4281
-0.0982;-0.3952;9.8543;9.8627;52.6833
-0.1006;-0.4000;9.8483;9.8570;52.9386
-0.0934;-0.3928;9.8483;9.8566;53.1938
-0.1018;-0.3940;9.8411;9.8495;53.4490
-0.1006;-0.3976;9.8399;9.8485;53.7044
-0.1066;-0.4024;9.8387;9.8475;53.9596
-0.1042;-0.3916;9.8328;9.8411;54.2149
-0.0994;-0.4024;9.8483;9.8570;54.4829
-0.1030;-0.3988;9.8399;9.8486;54.7427
-0.1018;-0.3928;9.8459;9.8543;55.0014
-0.1018;-0.4000;9.8399;9.8486;55.2596
-0.1054;-0.4048;9.8340;9.8428;55.5180
-0.1030;-0.3916;9.8363;9.8447;55.7762
-0.1078;-0.4036;9.8375;9.8464;56.0345
-0.1030;-0.4060;9.8507;9.8596;56.2926
-0.0994;-0.4072;9.8567;9.8656;56.5512
-0.1114;-0.4060;9.8387;9.8477;56.8092
-0.1114;-0.4012;9.8459;9.8547;57.0671
-0.1054;-0.4000;9.8411;9.8498;57.3251
-0.0934;-0.3976;9.8363;9.8448;57.5831
-0.1054;-0.3976;9.8387;9.8473;57.8418
-0.1066;-0.3952;9.8471;9.8556;58.0994
-0.1042;-0.3940;9.8543;9.8627;58.3573
-0.1054;-0.3952;9.8567;9.8652;58.6153
-0.1078;-0.4072;9.8519;9.8609;58.8732
-0.1102;-0.4000;9.8519;9.8606;59.1312
-0.0982;-0.3988;9.8483;9.8569;59.3891
-0.1066;-0.3940;9.8591;9.8675;59.6574
-0.1030;-0.3976;9.8375;9.8461;59.9126
-0.1042;-0.3976;9.8483;9.8569;60.1680
-0.0970;-0.4024;9.8483;9.8570;60.4234
-0.1006;-0.4024;9.8328;9.8415;60.6787
-0.1150;-0.3988;9.8531;9.8618;60.9339
-0.1138;-0.3892;9.8423;9.8507;61.1891
-0.0970;-0.3952;9.8483;9.8567;61.4444
-0.1018;-0.3940;9.8507;9.8591;61.6995
-0.1126;-0.3976;9.8495;9.8582;61.9548
-0.1066;-0.4024;9.8435;9.8523;62.2099
-0.0958;-0.3904;9.8471;9.8553;62.4651
-0.0994;-0.3964;9.8459;9.8544;62.7203
-0.1066;-0.3916;9.8387;9.8471;62.9754
-0.0994;-0.4048;9.8375;9.8464;63.2306
-0.1042;-0.4024;9.8459;9.8547;63.4859
-0.1018;-0.3988;9.8387;9.8473;63.7411
-0.1030;-0.4048;9.8579;9.8667;63.9964
-0.1114;-0.3952;9.8495;9.8581;64.2518
-0.1006;-0.3976;9.8375;9.8461;64.5070
-0.0994;-0.4000;9.8579;9.8665;64.7646
-0.0958;-0.3976;9.8375;9.8460;65.0198
-0.1090;-0.3892;9.8387;9.8470;65.2750
-0.0970;-0.4000;9.8459;9.8545;65.5302
-0.1078;-0.3940;9.8375;9.8460;65.7853
-0.1042;-0.4024;9.8351;9.8439;66.0386
-0.0958;-0.3940;9.8387;9.8471;66.2919
-0.0970;-0.3916;9.8591;9.8673;66.5454
-0.1006;-0.4024;9.8447;9.8535;66.8006
-0.0910;-0.4000;9.8459;9.8545;67.0558
-0.1066;-0.3928;9.8340;9.8424;67.3109
-0.1018;-0.3904;9.8447;9.8530;67.5660
-0.1054;-0.3988;9.8423;9.8510;67.8213
-0.1078;-0.3904;9.8507;9.8590;68.0765
-0.0958;-0.3976;9.8447;9.8532;68.3317
-0.1054;-0.4012;9.8531;9.8618;68.5869
-0.1006;-0.4000;9.8519;9.8605;68.8421
-0.1018;-0.3964;9.8447;9.8532;69.0974
-0.1018;-0.4131;9.8579;9.8671;69.3526
-0.0934;-0.4012;9.8495;9.8581;69.6079
-0.1078;-0.3940;9.8447;9.8532;69.8688
-0.1066;-0.4119;9.8531;9.8623;70.1240
-0.0922;-0.3964;9.8447;9.8531;70.3792
-0.0994;-0.3940;9.8543;9.8627;70.6345
-0.1078;-0.3928;9.8459;9.8543;70.8897
-0.1018;-0.4048;9.8495;9.8584;71.1451
-0.1054;-0.4084;9.8495;9.8585;71.4004
-0.1006;-0.3952;9.8471;9.8556;71.6557
-0.1054;-0.3928;9.8507;9.8591;71.9109
-0.1054;-0.3964;9.8507;9.8593;72.1664
-0.0994;-0.4000;9.8435;9.8522;72.4217
-0.1066;-0.3964;9.8435;9.8521;72.6769
-0.1042;-0.4060;9.8399;9.8489;72.9321
-0.0946;-0.3988;9.8483;9.8568;73.1874
-0.1042;-0.3976;9.8531;9.8617;73.4426
-0.1066;-0.4012;9.8375;9.8463;73.6978
-0.1078;-0.3964;9.8507;9.8593;73.9531
-0.1090;-0.4012;9.8483;9.8571;74.2083
-0.0970;-0.3940;9.8423;9.8507;74.4635
-0.1042;-0.3940;9.8363;9.8448;74.7188
-0.1006;-0.3964;9.8471;9.8556;74.9740
-0.0994;-0.4000;9.8507;9.8593;75.2293
-0.1078;-0.3940;9.8459;9.8544;75.4845
-0.1054;-0.3940;9.8447;9.8532;75.7397
-0.1006;-0.3976;9.8483;9.8569;75.9948
-0.0982;-0.3988;9.8555;9.8641;76.2500
-0.1114;-0.4036;9.8519;9.8608;76.5051
-0.1066;-0.3940;9.8363;9.8448;76.7603
-0.1042;-0.4024;9.8555;9.8643;77.0155
-0.1114;-0.3940;9.8435;9.8520;77.2707
-0.1006;-0.3940;9.8399;9.8483;77.5259
-0.1030;-0.3988;9.8435;9.8521;77.7811
-0.1114;-0.3928;9.8340;9.8424;78.0363
-0.1090;-0.3940;9.8495;9.8580;78.2915
-0.1114;-0.3940;9.8519;9.8604;78.5467
-0.1066;-0.4024;9.8555;9.8643;78.8020
-0.1090;-0.3976;9.8519;9.8605;79.0573
-0.1126;-0.3964;9.8531;9.8617;79.3124
-0.1054;-0.4024;9.8483;9.8571;79.5676
-0.0970;-0.4060;9.8411;9.8500;79.8228
-0.1030;-0.3976;9.8555;9.8641;80.0780
-0.1078;-0.3916;9.8363;9.8447;80.3332
-0.1066;-0.3952;9.8375;9.8461;80.5884
-0.1066;-0.3976;9.8519;9.8605;80.8436
-0.0946;-0.3988;9.8447;9.8533;81.0988
-0.1042;-0.3988;9.8387;9.8474;81.3539
-0.1018;-0.4036;9.8399;9.8487;81.6091
-0.1030;-0.3928;9.8495;9.8579;81.8645
-0.1006;-0.4000;9.8292;9.8378;82.1202
-0.1066;-0.3976;9.8555;9.8641;82.3754
-0.1102;-0.4024;9.8351;9.8440;82.6305
-0.1102;-0.3988;9.8435;9.8522;82.8861
-0.1078;-0.3892;9.8292;9.8375;83.1415
-0.1114;-0.3976;9.8351;9.8438;83.3969
-0.1030;-0.3988;9.8543;9.8629;83.6520
-0.1090;-0.3964;9.8495;9.8581;83.9074
-0.1090;-0.3964;9.8411;9.8497;84.1626
-0.1030;-0.4000;9.8555;9.8642;84.4178
-0.1102;-0.4024;9.8411;9.8500;84.6730
-0.1078;-0.3940;9.8435;9.8520;84.9282
-0.1018;-0.4024;9.8399;9.8487;85.1839
-0.1054;-0.3940;9.8531;9.8615;85.4424
-0.1054;-0.4000;9.8519;9.8606;85.7004
-0.1090;-0.4131;9.8483;9.8576;85.9583
-0.1030;-0.3868;9.8567;9.8648;86.2162
-0.1030;-0.4072;9.8483;9.8573;86.4742
-0.1078;-0.4000;9.8399;9.8487;86.7322
-0.1030;-0.4000;9.8423;9.8510;86.9901
-0.0982;-0.3892;9.8363;9.8445;87.2480
-0.1090;-0.4000;9.8543;9.8630;87.5059
-0.0958;-0.4000;9.8316;9.8402;87.7638
-0.0994;-0.4060;9.8411;9.8500;88.0217
-0.1030;-0.3904;9.8340;9.8422;88.2796
-0.1018;-0.4048;9.8387;9.8476;88.5376
-0.1006;-0.3892;9.8483;9.8565;88.7955
-0.1054;-0.4012;9.8399;9.8487;89.0534
-0.1066;-0.3928;9.8495;9.8579;89.3113
-0.1054;-0.4012;9.8567;9.8654;89.5693
-0.1066;-0.3952;9.8483;9.8568;89.8272
-0.1126;-0.4060;9.8435;9.8525;90.0851
-0.1090;-0.3976;9.8495;9.8581;90.3431
-0.0970;-0.3952;9.8447;9.8531;90.5984
-0.1018;-0.3988;9.8579;9.8665;90.8536
-0.1054;-0.4060;9.8591;9.8680;91.1089
-0.0982;-0.4000;9.8340;9.8426;91.3641
-0.1066;-0.3916;9.8459;9.8543;91.6196
-0.1102;-0.3940;9.8423;9.8508;91.8749
-0.1018;-0.3976;9.8555;9.8640;92.1301
-0.1042;-0.4024;9.8567;9.8655;92.3854
-0.1078;-0.4072;9.8543;9.8633;92.6406
-0.1102;-0.3964;9.8375;9.8461;92.8959
-0.1054;-0.3952;9.8328;9.8413;93.1512
-0.1126;-0.3928;9.8567;9.8652;93.4064
-0.1114;-0.3976;9.8435;9.8522;93.6617
-0.1090;-0.3988;9.8411;9.8498;93.9169
-0.0982;-0.3952;9.8471;9.8555;94.1721
-0.1102;-0.3904;9.8483;9.8567;94.4274
-0.1030;-0.3988;9.8495;9.8581;94.6826
-0.1042;-0.4060;9.8363;9.8453;94.9379
-0.0994;-0.3940;9.8304;9.8388;95.1932
-0.1006;-0.3940;9.8579;9.8663;95.4485
-0.1066;-0.3904;9.8555;9.8638;95.7038
-0.1078;-0.4060;9.8483;9.8573;95.9591
-0.1006;-0.3940;9.8471;9.8555;96.2144
-0.1114;-0.4012;9.8675;9.8763;96.4696
-0.0970;-0.4012;9.8459;9.8546;96.7249
-0.1054;-0.3856;9.8543;9.8624;96.9801
-0.1078;-0.4024;9.8435;9.8523;97.2354
-0.1066;-0.3988;9.8567;9.8653;97.4906
-0.1066;-0.3976;9.8447;9.8533;97.7459
-0.1030;-0.4000;9.8543;9.8630;98.0011
-0.1042;-0.3952;9.8531;9.8616;98.2565
-0.1054;-0.3940;9.8495;9.8580;98.5127
-0.1078;-0.3952;9.8471;9.8556;98.7680
-0.1054;-0.3880;9.8663;9.8745;99.0233
-0.0994;-0.3964;9.8304;9.8388;99.2786
-0.1078;-0.4084;9.8387;9.8478;99.5338
-0.1018;-0.4036;9.8579;9.8667;99.7891
-0.1066;-0.4060;9.8531;9.8620;100.0445
-0.1054;-0.4048;9.8459;9.8548;100.2999
-0.1078;-0.4024;9.8483;9.8571;100.5553
-0.1078;-0.3952;9.8459;9.8544;100.8105
-0.1030;-0.3940;9.8471;9.8555;101.0659
-0.1126;-0.3916;9.8531;9.8615;101.3211
-0.1078;-0.3988;9.8471;9.8558;101.5763
