ax(g);ay(g);az(g);accRMS(g);time(s)
ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0210;-0.0411;0.9818;0.9829;0.2360
-0.0211;-0.0413;0.9834;0.9845;0.2368
-0.0211;-0.0413;0.9834;0.9845;0.2376
-0.0204;-0.0410;0.9846;0.9857;0.2384
-0.0189;-0.0400;0.9856;0.9866;0.2392
-0.0176;-0.0393;0.9865;0.9874;0.2401
-0.0172;-0.0399;0.9868;0.9878;0.2409
-0.0172;-0.0399;0.9868;0.9878;0.2417
-0.0172;-0.0404;0.9862;0.9872;0.2424
-0.0175;-0.0402;0.9856;0.9866;0.2433
-0.0178;-0.0399;0.9858;0.9868;0.2441
-0.0183;-0.0393;0.9868;0.9878;0.2449
-0.0183;-0.0393;0.9868;0.9878;0.2457
-0.0195;-0.0389;0.9877;0.9886;0.2465
-0.0200;-0.0389;0.9882;0.9891;0.2473
-0.0197;-0.0396;0.9879;0.9889;0.2482
-0.0199;-0.0405;0.9877;0.9887;0.2490
-0.0199;-0.0405;0.9877;0.9887;0.2498
-0.0200;-0.0405;0.9885;0.9896;0.2507
-0.0199;-0.0400;0.9900;0.9910;0.2516
-0.0192;-0.0399;0.9911;0.9921;0.2524
-0.0183;-0.0389;0.9899;0.9908;0.2533
-0.0179;-0.0381;0.9883;0.9892;0.2542
-0.0179;-0.0391;0.9885;0.9895;0.2552
-0.0173;-0.0405;0.9885;0.9895;0.2562
-0.0184;-0.0417;0.9867;0.9877;0.2581
-0.0189;-0.0421;0.9868;0.9879;0.2591
-0.0184;-0.0430;0.9866;0.9877;0.2599
-0.0184;-0.0430;0.9866;0.9877;0.2608
-0.0187;-0.0427;0.9854;0.9865;0.2617
-0.0200;-0.0424;0.9833;0.9844;0.2626
-0.0209;-0.0424;0.9825;0.9837;0.2636
-0.0201;-0.0421;0.9828;0.9839;0.2644
-0.0192;-0.0417;0.9839;0.9850;0.2653
-0.0189;-0.0408;0.9862;0.9872;0.2662
-0.0190;-0.0400;0.9888;0.9898;0.2672
-0.0193;-0.0402;0.9888;0.9898;0.2686
-0.0189;-0.0403;0.9883;0.9893;0.2698
-0.0182;-0.0405;0.9871;0.9881;0.2714
-0.0183;-0.0405;0.9855;0.9865;0.2724
-0.0192;-0.0396;0.9846;0.9856;0.2736
-0.0195;-0.0388;0.9839;0.9848;0.2744
-0.0197;-0.0393;0.9844;0.9854;0.2752
-0.0200;-0.0394;0.9855;0.9865;0.2761
-0.0195;-0.0391;0.9860;0.9869;0.2769
-0.0195;-0.0391;0.9860;0.9869;0.2778
-0.0187;-0.0394;0.9863;0.9873;0.2787
-0.0181;-0.0408;0.9860;0.9870;0.2797
-0.0190;-0.0413;0.9849;0.9859;0.2810
-0.0183;-0.0410;0.9845;0.9855;0.2822
-0.0173;-0.0414;0.9844;0.9854;0.2832
-0.0177;-0.0419;0.9832;0.9842;0.2841
-0.0184;-0.0425;0.9822;0.9833;0.2850
-0.0184;-0.0425;0.9822;0.9833;0.2858
-0.0184;-0.0424;0.9819;0.9830;0.2866
-0.0184;-0.0419;0.9818;0.9829;0.2875
-0.0188;-0.0416;0.9814;0.9825;0.2883
-0.0195;-0.0417;0.9824;0.9835;0.2891
-0.0187;-0.0419;0.9852;0.9863;0.2899
-0.0187;-0.0419;0.9852;0.9863;0.2908
-0.0177;-0.0420;0.9883;0.9893;0.2916
-0.0179;-0.0415;0.9904;0.9914;0.2924
-0.0178;-0.0405;0.9907;0.9917;0.2936
-0.0183;-0.0403;0.9897;0.9907;0.2945
-0.0190;-0.0408;0.9877;0.9887;0.2953
-0.0189;-0.0405;0.9860;0.9870;0.2961
-0.0181;-0.0398;0.9854;0.9863;0.2969
-0.0181;-0.0398;0.9854;0.9863;0.2978
-0.0168;-0.0392;0.9858;0.9868;0.2986
-0.0166;-0.0391;0.9857;0.9866;0.2994
-0.0166;-0.0392;0.9849;0.9858;0.3002
-0.0170;-0.0396;0.9850;0.9859;0.3010
-0.0170;-0.0396;0.9850;0.9859;0.3018
-0.0171;-0.0399;0.9856;0.9866;0.3026
-0.0167;-0.0403;0.9852;0.9862;0.3034
-0.0165;-0.0403;0.9838;0.9847;0.3043
-0.0171;-0.0399;0.9829;0.9839;0.3051
-0.0171;-0.0399;0.9829;0.9839;0.3058
-0.0182;-0.0400;0.9832;0.9841;0.3066
-0.0187;-0.0404;0.9836;0.9846;0.3074
-0.0190;-0.0411;0.9844;0.9854;0.3082
-0.0200;-0.0417;0.9847;0.9858;0.3090
-0.0208;-0.0422;0.9849;0.9860;0.3099
-0.0208;-0.0422;0.9849;0.9860;0.3108
-0.0205;-0.0424;0.9851;0.9862;0.3116
-0.0203;-0.0414;0.9854;0.9864;0.3125
-0.0199;-0.0398;0.9858;0.9868;0.3134
-0.0186;-0.0391;0.9854;0.9863;0.3142
-0.0175;-0.0393;0.9834;0.9843;0.3151
-0.0179;-0.0397;0.9832;0.9841;0.3160
-0.0179;-0.0397;0.9832;0.9841;0.3168
-0.0189;-0.0393;0.9850;0.9860;0.3177
-0.0192;-0.0389;0.9863;0.9873;0.3185
-0.0183;-0.0386;0.9872;0.9881;0.3194
-0.0170;-0.0385;0.9882;0.9891;0.3202
-0.0162;-0.0393;0.9886;0.9896;0.3210
-0.0165;-0.0400;0.9891;0.9901;0.3219
-0.0165;-0.0400;0.9891;0.9901;0.3228
-0.0175;-0.0405;0.9901;0.9911;0.3237
-0.0183;-0.0405;0.9905;0.9915;0.3246
-0.0188;-0.0398;0.9889;0.9899;0.3254
-0.0190;-0.0396;0.9863;0.9873;0.3263
-0.0186;-0.0398;0.9852;0.9862;0.3272
-0.0179;-0.0400;0.9850;0.9860;0.3282
-0.0175;-0.0409;0.9847;0.9857;0.3291
-0.0172;-0.0411;0.9839;0.9849;0.3299
-0.0172;-0.0411;0.9839;0.9849;0.3308
-0.0183;-0.0402;0.9833;0.9843;0.3316
-0.0194;-0.0387;0.9836;0.9846;0.3324
-0.0200;-0.0382;0.9836;0.9846;0.3334
-0.0204;-0.0389;0.9828;0.9838;0.3342
-0.0205;-0.0404;0.9813;0.9824;0.3351
-0.0205;-0.0409;0.9813;0.9824;0.3359
-0.0205;-0.0409;0.9813;0.9824;0.3368
-0.0208;-0.0409;0.9828;0.9839;0.3376
-0.0209;-0.0414;0.9830;0.9841;0.3385
-0.0203;-0.0413;0.9832;0.9842;0.3394
-0.0199;-0.0403;0.9824;0.9834;0.3402
-0.0200;-0.0399;0.9812;0.9822;0.3411
-0.0203;-0.0397;0.9817;0.9827;0.3420
-0.0203;-0.0396;0.9828;0.9838;0.3428
-0.0203;-0.0396;0.9828;0.9838;0.3438
-0.0198;-0.0393;0.9828;0.9838;0.3447
-0.0193;-0.0391;0.9822;0.9831;0.3455
-0.0190;-0.0391;0.9813;0.9823;0.3463
-0.0188;-0.0399;0.9818;0.9828;0.3472
-0.0192;-0.0408;0.9832;0.9842;0.3480
-0.0192;-0.0408;0.9832;0.9842;0.3488
-0.0193;-0.0410;0.9834;0.9844;0.3497
-0.0186;-0.0405;0.9827;0.9837;0.3505
-0.0178;-0.0404;0.9825;0.9835;0.3514
-0.0177;-0.0413;0.9834;0.9844;0.3523
-0.0181;-0.0416;0.9840;0.9851;0.3532
-0.0188;-0.0416;0.9838;0.9848;0.3541
-0.0194;-0.0422;0.9843;0.9853;0.3551
-0.0197;-0.0427;0.9855;0.9866;0.3560
-0.0206;-0.0420;0.9857;0.9868;0.3568
-0.0217;-0.0410;0.9846;0.9857;0.3586
-0.0221;-0.0411;0.9835;0.9846;0.3594
-0.0211;-0.0416;0.9849;0.9860;0.3602
-0.0201;-0.0416;0.9875;0.9886;0.3609
-0.0201;-0.0416;0.9875;0.9886;0.3617
-0.0194;-0.0414;0.9894;0.9904;0.3625
-0.0192;-0.0416;0.9896;0.9907;0.3635
-0.0197;-0.0419;0.9894;0.9905;0.3642
-0.0203;-0.0415;0.9875;0.9886;0.3650
-0.0203;-0.0415;0.9875;0.9886;0.3657
-0.0206;-0.0413;0.9851;0.9862;0.3665
-0.0204;-0.0414;0.9849;0.9859;0.3672
-0.0199;-0.0420;0.9858;0.9869;0.3680
-0.0199;-0.0420;0.9858;0.9869;0.3688
-0.0194;-0.0427;0.9866;0.9877;0.3695
-0.0193;-0.0427;0.9878;0.9889;0.3703
-0.0197;-0.0422;0.9885;0.9896;0.3711
-0.0190;-0.0419;0.9889;0.9900;0.3719
-0.0187;-0.0415;0.9890;0.9901;0.3731
-0.0193;-0.0414;0.9875;0.9886;0.3741
-0.0193;-0.0415;0.9845;0.9856;0.3750
-0.0188;-0.0426;0.9816;0.9827;0.3760
-0.0189;-0.0442;0.9808;0.9820;0.3770
-0.0193;-0.0444;0.9819;0.9831;0.3780
-0.0193;-0.0444;0.9825;0.9837;0.3789
-0.0193;-0.0444;0.9825;0.9837;0.3798
-0.0189;-0.0439;0.9825;0.9837;0.3808
-0.0186;-0.0432;0.9838;0.9849;0.3817
-0.0181;-0.0424;0.9865;0.9875;0.3827
-0.0182;-0.0415;0.9878;0.9888;0.3837
-0.0186;-0.0415;0.9878;0.9888;0.3846
-0.0187;-0.0417;0.9882;0.9892;0.3856
-0.0195;-0.0417;0.9883;0.9894;0.3865
-0.0201;-0.0414;0.9874;0.9885;0.3874
-0.0195;-0.0403;0.9860;0.9870;0.3884
-0.0192;-0.0394;0.9844;0.9854;0.3893
-0.0193;-0.0396;0.9840;0.9850;0.3902
-0.0194;-0.0399;0.9843;0.9853;0.3912
-0.0190;-0.0408;0.9844;0.9854;0.3921
-0.0186;-0.0413;0.9836;0.9847;0.3932
-0.0190;-0.0402;0.9821;0.9831;0.3942
-0.0197;-0.0398;0.9818;0.9828;0.3951
-0.0200;-0.0408;0.9829;0.9840;0.3961
-0.0205;-0.0414;0.9836;0.9847;0.3970
-0.0212;-0.0413;0.9844;0.9855;0.3980
-0.0221;-0.0417;0.9858;0.9870;0.3990
-0.0223;-0.0427;0.9880;0.9892;0.4000
-0.0208;-0.0424;0.9893;0.9904;0.4010
-0.0208;-0.0424;0.9893;0.9904;0.4019
-0.0192;-0.0414;0.9884;0.9895;0.4028
-0.0192;-0.0414;0.9874;0.9885;0.4038
-0.0197;-0.0417;0.9877;0.9887;0.4048
-0.0197;-0.0424;0.9874;0.9885;0.4057
-0.0198;-0.0430;0.9861;0.9872;0.4067
-0.0206;-0.0433;0.9850;0.9862;0.4076
-0.0214;-0.0431;0.9851;0.9863;0.4086
-0.0212;-0.0420;0.9860;0.9871;0.4095
-0.0205;-0.0413;0.9866;0.9876;0.4105
-0.0195;-0.0406;0.9863;0.9874;0.4115
-0.0187;-0.0399;0.9847;0.9857;0.4124
-0.0195;-0.0400;0.9839;0.9849;0.4135
-0.0211;-0.0402;0.9852;0.9863;0.4146
-0.0214;-0.0396;0.9866;0.9876;0.4156
-0.0219;-0.0389;0.9868;0.9878;0.4165
-0.0217;-0.0385;0.9872;0.9882;0.4175
-0.0204;-0.0387;0.9871;0.9880;0.4184
-0.0194;-0.0389;0.9857;0.9867;0.4194
-0.0190;-0.0386;0.9845;0.9854;0.4203
-0.0192;-0.0392;0.9846;0.9856;0.4213
-0.0194;-0.0403;0.9850;0.9860;0.4222
-0.0203;-0.0404;0.9845;0.9855;0.4232
-0.0216;-0.0397;0.9854;0.9864;0.4253
-0.0216;-0.0404;0.9862;0.9873;0.4264
-0.0215;-0.0405;0.9863;0.9874;0.4274
-0.0209;-0.0402;0.9858;0.9869;0.4284
-0.0201;-0.0404;0.9847;0.9858;0.4294
-0.0192;-0.0410;0.9839;0.9849;0.4304
-0.0184;-0.0417;0.9839;0.9849;0.4313
-0.0182;-0.0417;0.9835;0.9846;0.4325
-0.0184;-0.0411;0.9823;0.9833;0.4337
-0.0184;-0.0400;0.9819;0.9829;0.4348
-0.0183;-0.0385;0.9827;0.9836;0.4360
-0.0187;-0.0381;0.9841;0.9850;0.4372
-0.0195;-0.0381;0.9844;0.9853;0.4383
-0.0204;-0.0392;0.9833;0.9843;0.4393
-0.0204;-0.0404;0.9830;0.9841;0.4404
-0.0197;-0.0406;0.9845;0.9855;0.4414
-0.0189;-0.0409;0.9850;0.9860;0.4422
-0.0195;-0.0410;0.9846;0.9857;0.4431
-0.0195;-0.0399;0.9854;0.9864;0.4441
-0.0187;-0.0397;0.9860;0.9869;0.4451
-0.0181;-0.0406;0.9868;0.9878;0.4462
-0.0188;-0.0408;0.9888;0.9898;0.4473
-0.0199;-0.0402;0.9900;0.9910;0.4483
-0.0203;-0.0394;0.9900;0.9910;0.4494
-0.0204;-0.0394;0.9899;0.9909;0.4505
-0.0209;-0.0399;0.9896;0.9906;0.4516
-0.0219;-0.0404;0.9891;0.9902;0.4526
-0.0222;-0.0404;0.9878;0.9889;0.4537
