ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0002;-0.0056;0.0068;0.0088;0.3144
0.0012;-0.0020;0.0034;0.0041;0.3152
0.0027;-0.0051;-0.0027;0.0064;0.3161
0.0068;-0.0024;-0.0044;0.0085;0.3170
0.0059;-0.0032;0.0010;0.0067;0.3179
0.0007;0.0022;0.0100;0.0103;0.3188
-0.0012;0.0056;0.0032;0.0066;0.3204
-0.0010;0.0000;0.0000;0.0010;0.3213
-0.0051;0.0081;-0.0056;0.0111;0.3221
-0.0020;0.0073;-0.0076;0.0107;0.3230
-0.0002;-0.0002;0.0081;0.0081;0.3239
0.0002;-0.0049;0.0027;0.0056;0.3248
0.0010;0.0037;0.0007;0.0039;0.3264
-0.0020;0.0039;0.0107;0.0116;0.3273
-0.0066;0.0029;-0.0037;0.0081;0.3282
-0.0024;0.0056;-0.0063;0.0088;0.3290
-0.0012;0.0063;-0.0024;0.0069;0.3299
-0.0005;0.0037;-0.0005;0.0037;0.3308
-0.0037;0.0010;-0.0068;0.0078;0.3325
-0.0061;0.0010;-0.0005;0.0062;0.3333
-0.0027;-0.0029;-0.0027;0.0048;0.3342
-0.0017;0.0022;0.0022;0.0035;0.3351
0.0054;0.0017;0.0012;0.0058;0.3362
0.0027;0.0046;0.0056;0.0078;0.3371
-0.0017;0.0017;0.0095;0.0098;0.3379
0.0007;0.0020;0.0020;0.0029;0.3388
-0.0027;0.0020;-0.0027;0.0043;0.3405
-0.0007;0.0020;0.0032;0.0038;0.3414
0.0029;0.0005;0.0046;0.0055;0.3423
0.0027;0.0061;-0.0015;0.0068;0.3431
-0.0010;0.0022;-0.0012;0.0027;0.3440
-0.0010;-0.0042;0.0020;0.0047;0.3449
-0.0054;-0.0012;0.0042;0.0069;0.3458
-0.0020;0.0054;-0.0017;0.0060;0.3475
-0.0012;-0.0010;-0.0002;0.0016;0.3483
-0.0029;-0.0027;0.0061;0.0073;0.3492
-0.0024;-0.0034;0.0063;0.0076;0.3501
0.0005;0.0034;-0.0007;0.0035;0.3519
0.0027;0.0002;-0.0024;0.0036;0.3533
-0.0059;0.0024;0.0000;0.0063;0.3545
-0.0071;0.0022;0.0042;0.0085;0.3554
-0.0039;0.0037;-0.0017;0.0056;0.3562
-0.0002;0.0024;-0.0002;0.0025;0.3572
0.0012;0.0056;0.0024;0.0062;0.3580
0.0029;0.0022;-0.0017;0.0040;0.3589
-0.0022;-0.0032;0.0034;0.0052;0.3598
0.0000;-0.0027;0.0037;0.0045;0.3614
0.0051;0.0000;0.0027;0.0058;0.3623
0.0044;0.0020;0.0024;0.0054;0.3632
0.0061;0.0012;-0.0032;0.0070;0.3641
0.0022;-0.0027;-0.0054;0.0064;0.3650
-0.0002;0.0061;0.0000;0.0061;0.3659
-0.0007;0.0046;-0.0020;0.0051;0.3668
-0.0007;0.0017;0.0010;0.0021;0.3684
-0.0012;0.0005;0.0051;0.0053;0.3693
-0.0005;0.0020;0.0042;0.0046;0.3702
0.0032;0.0022;0.0000;0.0039;0.3710
-0.0005;0.0012;-0.0054;0.0055;0.3719
0.0000;0.0083;-0.0098;0.0128;0.3728
0.0015;0.0046;-0.0107;0.0118;0.3744
-0.0027;-0.0007;-0.0046;0.0054;0.3753
0.0049;0.0002;0.0049;0.0069;0.3762
0.0068;-0.0037;0.0010;0.0078;0.3771
0.0042;-0.0027;-0.0042;0.0065;0.3779
-0.0066;0.0017;0.0056;0.0088;0.3788
-0.0042;-0.0044;0.0005;0.0061;0.3805
