ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0112;-0.0406;1.0046;1.0055;43.1313
-0.0106;-0.0397;1.0057;1.0066;43.3865
-0.0106;-0.0403;1.0032;1.0040;43.6417
-0.0110;-0.0405;1.0035;1.0044;43.8970
-0.0106;-0.0399;1.0034;1.0043;44.1523
-0.0111;-0.0405;1.0040;1.0049;44.4076
-0.0107;-0.0406;1.0060;1.0069;44.6629
-0.0109;-0.0413;1.0035;1.0044;44.9184
-0.0107;-0.0408;1.0034;1.0043;45.1738
-0.0115;-0.0409;1.0061;1.0070;45.4291
-0.0110;-0.0397;1.0048;1.0056;45.6843
-0.0106;-0.0405;1.0043;1.0051;45.9396
-0.0112;-0.0403;1.0057;1.0066;46.1948
-0.0111;-0.0408;1.0043;1.0052;46.4503
-0.0105;-0.0398;1.0063;1.0072;46.7057
-0.0109;-0.0402;1.0046;1.0055;46.9611
-0.0111;-0.0409;1.0035;1.0044;47.2165
-0.0109;-0.0391;1.0049;1.0057;47.4717
-0.0112;-0.0399;1.0040;1.0049;47.7271
-0.0107;-0.0399;1.0049;1.0057;47.9824
-0.0107;-0.0398;1.0046;1.0055;48.2379
-0.0116;-0.0410;1.0043;1.0052;48.4932
-0.0100;-0.0408;1.0057;1.0066;48.7485
-0.0107;-0.0406;1.0042;1.0050;49.0036
-0.0106;-0.0398;1.0038;1.0046;49.2570
-0.0114;-0.0397;1.0059;1.0067;49.5103
-0.0110;-0.0402;1.0054;1.0062;49.7638
-0.0109;-0.0400;1.0044;1.0053;50.0191
-0.0117;-0.0408;1.0035;1.0044;50.2743
-0.0110;-0.0411;1.0035;1.0044;50.5296
-0.0106;-0.0398;1.0057;1.0066;50.7847
-0.0115;-0.0404;1.0038;1.0047;51.0400
-0.0112;-0.0409;1.0033;1.0042;51.2952
-0.0112;-0.0409;1.0044;1.0053;51.5507
-0.0111;-0.0393;1.0045;1.0053;51.8061
-0.0111;-0.0398;1.0048;1.0056;52.0615
-0.0104;-0.0404;1.0038;1.0047;52.3169
-0.0112;-0.0403;1.0045;1.0054;52.5723
-0.0103;-0.0411;1.0038;1.0047;52.8278
-0.0099;-0.0403;1.0040;1.0049;53.0832
-0.0106;-0.0410;1.0034;1.0043;53.3385
-0.0103;-0.0413;1.0051;1.0060;53.5938
-0.0107;-0.0409;1.0043;1.0052;53.8491
-0.0109;-0.0417;1.0052;1.0062;54.1044
-0.0122;-0.0399;1.0050;1.0059;54.3598
-0.0105;-0.0405;1.0037;1.0045;54.6150
-0.0114;-0.0410;1.0049;1.0058;54.8703
-0.0109;-0.0400;1.0042;1.0050;55.1256
-0.0106;-0.0405;1.0068;1.0077;55.3810
-0.0105;-0.0406;1.0045;1.0054;55.6363
-0.0105;-0.0415;1.0038;1.0047;55.8916
-0.0110;-0.0399;1.0040;1.0049;56.1471
-0.0110;-0.0404;1.0042;1.0050;56.4024
-0.0118;-0.0399;1.0045;1.0054;56.6578
-0.0105;-0.0396;1.0049;1.0057;56.9130
-0.0110;-0.0404;1.0048;1.0056;57.1683
-0.0110;-0.0411;1.0040;1.0049;57.4236
-0.0101;-0.0403;1.0039;1.0048;57.6788
-0.0105;-0.0405;1.0045;1.0054;57.9339
-0.0110;-0.0406;1.0045;1.0054;58.1873
-0.0101;-0.0396;1.0050;1.0058;58.4407
-0.0111;-0.0404;1.0055;1.0064;58.6943
-0.0106;-0.0406;1.0045;1.0054;58.9497
-0.0105;-0.0399;1.0051;1.0060;59.2049
-0.0106;-0.0413;1.0029;1.0038;59.4602
-0.0107;-0.0403;1.0039;1.0048;59.7155
-0.0109;-0.0393;1.0044;1.0052;59.9708
