ax(m/s);ay(m/s);az(m/s);accRMS(m/s);time(s)
-0.0958;-0.3964;9.8651;9.8735;1.5908
-0.0982;-0.3964;9.8555;9.8640;1.5964
-0.1018;-0.3952;9.8447;9.8532;1.6030
-0.1018;-0.3952;9.8459;9.8544;1.6091
-0.1030;-0.3964;9.8447;9.8532;1.6151
-0.1018;-0.3964;9.8495;9.8580;1.6209
-0.1054;-0.3976;9.8483;9.8569;1.6264
-0.1054;-0.3988;9.8483;9.8570;1.6322
-0.1018;-0.4000;9.8471;9.8558;1.6381
-0.0994;-0.3952;9.8495;9.8579;1.6463
-0.0994;-0.3964;9.8495;9.8580;1.6525
-0.0994;-0.3952;9.8519;9.8603;1.6580
-0.0994;-0.3952;9.8567;9.8651;1.6636
-0.1018;-0.3988;9.8531;9.8617;1.6702
-0.1018;-0.4000;9.8471;9.8558;1.6761
-0.1018;-0.3964;9.8423;9.8508;1.6832
-0.1018;-0.3976;9.8471;9.8557;1.6890
-0.1030;-0.3976;9.8483;9.8569;1.6948
-0.1042;-0.4012;9.8435;9.8523;1.7006
-0.1066;-0.4012;9.8435;9.8523;1.7061
-0.1102;-0.4012;9.8471;9.8559;1.7117
-0.1114;-0.3976;9.8567;9.8653;1.7178
-0.1042;-0.3940;9.8555;9.8639;1.7234
-0.1042;-0.3856;9.8507;9.8588;1.7292
-0.1054;-0.3880;9.8435;9.8517;1.7348
-0.1054;-0.3856;9.8531;9.8612;1.7407
-0.1066;-0.3892;9.8507;9.8590;1.7463
-0.1102;-0.3892;9.8519;9.8602;1.7520
-0.1138;-0.3904;9.8459;9.8543;1.7576
-0.1150;-0.3928;9.8447;9.8532;1.7631
-0.1102;-0.3952;9.8519;9.8605;1.7698
-0.1126;-0.4000;9.8567;9.8655;1.7757
-0.1114;-0.3964;9.8459;9.8545;1.7817
-0.1102;-0.3988;9.8507;9.8594;1.7873
-0.1066;-0.4000;9.8483;9.8570;1.7935
-0.1114;-0.3964;9.8435;9.8521;1.7995
-0.1102;-0.3964;9.8447;9.8533;1.8050
-0.1114;-0.3952;9.8531;9.8617;1.8110
-0.1126;-0.3940;9.8471;9.8556;1.8168
-0.1090;-0.3952;9.8543;9.8628;1.8224
-0.1066;-0.3964;9.8519;9.8605;1.8279
-0.1018;-0.3988;9.8507;9.8593;1.8335
-0.1078;-0.3952;9.8543;9.8628;1.8390
-0.1090;-0.3964;9.8543;9.8629;1.8451
-0.1042;-0.3976;9.8567;9.8653;1.8508
-0.1042;-0.4036;9.8579;9.8667;1.8563
-0.1078;-0.4024;9.8555;9.8643;1.8618
-0.1066;-0.4036;9.8471;9.8560;1.8675
-0.1042;-0.4048;9.8495;9.8584;1.8734
-0.1054;-0.4012;9.8459;9.8547;1.8791
-0.1066;-0.4024;9.8435;9.8523;1.8850
-0.1054;-0.4048;9.8423;9.8512;1.8907
-0.1042;-0.4036;9.8507;9.8595;1.8963
-0.1066;-0.4036;9.8519;9.8608;1.9022
-0.1102;-0.4048;9.8507;9.8596;1.9079
-0.1078;-0.4024;9.8531;9.8619;1.9136
-0.1114;-0.4000;9.8507;9.8595;1.9192
-0.1066;-0.3976;9.8555;9.8641;1.9248
-0.1078;-0.3976;9.8543;9.8629;1.9303
-0.1102;-0.4024;9.8459;9.8548;1.9358
-0.1066;-0.4000;9.8435;9.8522;1.9414
-0.1066;-0.4012;9.8435;9.8523;1.9470
-0.1090;-0.3940;9.8507;9.8592;1.9525
-0.1066;-0.3928;9.8579;9.8663;1.9580
-0.1054;-0.3952;9.8567;9.8652;1.9635
-0.0994;-0.3916;9.8567;9.8650;1.9693
-0.0982;-0.3964;9.8519;9.8604;1.9753
-0.0970;-0.3964;9.8543;9.8628;1.9812
-0.0982;-0.3940;9.8531;9.8615;1.9869
-0.0970;-0.3880;9.8495;9.8576;1.9924
-0.0982;-0.3952;9.8471;9.8555;1.9982
-0.1006;-0.3952;9.8543;9.8627;2.0038
-0.1006;-0.3880;9.8567;9.8648;2.0093
-0.1030;-0.3892;9.8483;9.8565;2.0149
-0.1030;-0.3928;9.8495;9.8579;2.0210
-0.1018;-0.3952;9.8555;9.8640;2.0268
-0.1066;-0.3940;9.8519;9.8604;2.0324
-0.1090;-0.3892;9.8531;9.8614;2.0379
-0.1102;-0.3916;9.8507;9.8591;2.0439
-0.1042;-0.3916;9.8495;9.8578;2.0496
-0.1006;-0.3952;9.8483;9.8568;2.0552
-0.1066;-0.3988;9.8435;9.8522;2.0607
-0.1066;-0.4000;9.8399;9.8486;2.0662
-0.1054;-0.3988;9.8507;9.8593;2.0725
-0.1018;-0.3988;9.8459;9.8545;2.0780
-0.1006;-0.4024;9.8471;9.8559;2.0840
-0.1078;-0.4000;9.8471;9.8558;2.0898
-0.1090;-0.4000;9.8507;9.8594;2.0953
-0.1066;-0.4036;9.8483;9.8572;2.1016
-0.1066;-0.4024;9.8447;9.8535;2.1073
-0.1102;-0.3988;9.8447;9.8534;2.1128
-0.1078;-0.3976;9.8507;9.8593;2.1184
-0.1066;-0.3976;9.8471;9.8557;2.1240
-0.1078;-0.3952;9.8471;9.8556;2.1296
-0.1054;-0.3916;9.8471;9.8555;2.1354
-0.1066;-0.3916;9.8495;9.8579;2.1413
-0.1102;-0.3880;9.8483;9.8566;2.1469
-0.1078;-0.3868;9.8519;9.8601;2.1527
-0.1090;-0.3856;9.8591;9.8672;2.1583
-0.1102;-0.3844;9.8543;9.8624;2.1638
-0.1150;-0.3868;9.8543;9.8626;2.1694
-0.1138;-0.3856;9.8507;9.8589;2.1751
-0.1138;-0.3820;9.8459;9.8540;2.1809
-0.1126;-0.3880;9.8471;9.8554;2.1867
-0.1090;-0.3940;9.8507;9.8592;2.1922
-0.1078;-0.3988;9.8543;9.8630;2.1977
-0.1078;-0.4024;9.8639;9.8727;2.2037
-0.1054;-0.4000;9.8627;9.8714;2.2094
-0.1090;-0.4000;9.8591;9.8678;2.2149
-0.1138;-0.4000;9.8507;9.8595;2.2206
-0.1090;-0.3988;9.8471;9.8558;2.2261
-0.1042;-0.3976;9.8411;9.8497;2.2316
-0.0994;-0.3976;9.8399;9.8485;2.2371
-0.1018;-0.3952;9.8411;9.8496;2.2426
-0.0994;-0.3952;9.8435;9.8520;2.2481
-0.1018;-0.3964;9.8471;9.8556;2.2539
-0.1006;-0.3964;9.8531;9.8616;2.2595
-0.0982;-0.4000;9.8507;9.8593;2.2650
-0.0982;-0.4024;9.8495;9.8582;2.2706
-0.1018;-0.4072;9.8435;9.8525;2.2763
-0.0994;-0.4048;9.8411;9.8500;2.2821
-0.0970;-0.4012;9.8459;9.8546;2.2878
-0.0970;-0.3988;9.8495;9.8581;2.2934
-0.0982;-0.4012;9.8555;9.8642;2.2989
-0.0970;-0.4036;9.8579;9.8666;2.3047
-0.0970;-0.4060;9.8567;9.8655;2.3102
-0.1006;-0.4060;9.8567;9.8656;2.3158
-0.0994;-0.4060;9.8579;9.8668;2.3214
-0.1030;-0.4060;9.8435;9.8524;2.3270
-0.1042;-0.4024;9.8411;9.8499;2.3325
-0.1090;-0.4048;9.8459;9.8548;2.3380
-0.1066;-0.4012;9.8483;9.8571;2.3435
-0.1078;-0.4024;9.8423;9.8511;2.3490
-0.1066;-0.4060;9.8435;9.8525;2.3546
-0.1054;-0.4048;9.8471;9.8560;2.3601
-0.1078;-0.4036;9.8471;9.8560;2.3656
-0.1102;-0.4048;9.8471;9.8561;2.3711
-0.1042;-0.4000;9.8507;9.8594;2.3768
-0.1054;-0.3988;9.8447;9.8534;2.3825
-0.1042;-0.4000;9.8435;9.8522;2.3882
-0.1018;-0.4024;9.8423;9.8511;2.3938
-0.1018;-0.4024;9.8471;9.8559;2.3993
-0.1018;-0.4012;9.8411;9.8498;2.4048
-0.0994;-0.3952;9.8375;9.8460;2.4104
-0.1030;-0.3952;9.8435;9.8520;2.4159
-0.1006;-0.3952;9.8459;9.8544;2.4215
-0.1066;-0.3964;9.8531;9.8617;2.4271
-0.1054;-0.4000;9.8615;9.8702;2.4326
-0.0994;-0.4000;9.8651;9.8737;2.4381
-0.1030;-0.4024;9.8651;9.8738;2.4436
-0.1042;-0.4024;9.8639;9.8726;2.4491
-0.1018;-0.4024;9.8603;9.8690;2.4546
-0.1042;-0.4012;9.8603;9.8690;2.4602
-0.1078;-0.3988;9.8507;9.8594;2.4657
-0.1078;-0.4048;9.8495;9.8584;2.4712
-0.1054;-0.4024;9.8495;9.8583;2.4769
-0.1066;-0.3988;9.8447;9.8534;2.4827
-0.1054;-0.4000;9.8459;9.8546;2.4885
-0.1018;-0.4048;9.8447;9.8536;2.4940
-0.0994;-0.4024;9.8423;9.8511;2.4996
-0.0970;-0.3988;9.8387;9.8473;2.5051
-0.1006;-0.4036;9.8387;9.8475;2.5106
-0.1018;-0.3976;9.8375;9.8461;2.5162
-0.1018;-0.3988;9.8423;9.8509;2.5217
-0.1018;-0.3964;9.8387;9.8472;2.5273
-0.1006;-0.3940;9.8375;9.8459;2.5329
-0.1030;-0.3940;9.8423;9.8508;2.5384
-0.1018;-0.3928;9.8495;9.8579;2.5439
-0.1018;-0.3916;9.8543;9.8626;2.5494
-0.0994;-0.3904;9.8519;9.8601;2.5551
-0.1042;-0.3904;9.8471;9.8554;2.5607
-0.1006;-0.3964;9.8483;9.8568;2.5662
-0.0970;-0.3964;9.8495;9.8580;2.5717
-0.0994;-0.3976;9.8555;9.8640;2.5774
-0.0970;-0.3964;9.8627;9.8711;2.5830
-0.0958;-0.4000;9.8663;9.8749;2.5888
-0.0982;-0.4012;9.8651;9.8737;2.5944
-0.0934;-0.4036;9.8675;9.8762;2.5999
-0.0934;-0.4024;9.8639;9.8725;2.6054
-0.0946;-0.4024;9.8579;9.8666;2.6110
-0.0958;-0.3988;9.8531;9.8616;2.6165
-0.0970;-0.3940;9.8507;9.8591;2.6221
-0.1006;-0.3952;9.8507;9.8592;2.6277
-0.1030;-0.3964;9.8555;9.8640;2.6332
-0.1054;-0.3952;9.8579;9.8664;2.6389
-0.1054;-0.3940;9.8519;9.8604;2.6497
-0.1090;-0.3880;9.8615;9.8697;2.6552
-0.1090;-0.3856;9.8603;9.8684;2.6608
-0.1090;-0.3868;9.8543;9.8625;2.6663
-0.1078;-0.3868;9.8519;9.8601;2.6718
-0.1078;-0.3880;9.8495;9.8577;2.6775
-0.1030;-0.3856;9.8495;9.8576;2.6832
